y,x,bar,pub,ice_cream,charging_station,cinema,theatre,supermarket,church,mosque,synagogue,hotel,museum
31.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,5.0,8,0,0,0,1,2,0,0,10,0,17,2
31.0,6.0,1,0,0,0,1,0,0,0,3,0,10,0
31.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,8.0,0,0,0,0,0,0,0,0,0,0,1,0
31.0,9.0,0,0,0,0,0,0,0,0,1,0,0,0
31.0,10.0,0,0,0,0,0,3,0,0,6,0,2,4
31.0,11.0,0,0,0,0,0,0,0,0,16,0,1,0
31.0,12.0,1,0,0,0,3,0,0,0,9,0,2,2
31.0,13.0,0,0,0,0,0,0,0,0,11,0,0,0
31.0,14.0,0,2,0,0,0,1,0,0,10,0,3,1
31.0,15.0,0,0,0,0,0,0,0,0,2,0,2,0
31.0,16.0,0,0,0,0,0,1,0,0,6,0,10,0
31.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,19.0,1,0,0,0,0,0,0,0,1,0,0,0
31.0,20.0,0,1,0,0,1,0,0,1,19,0,0,0
31.0,21.0,0,1,0,0,0,1,0,0,0,0,0,0
31.0,22.0,2,0,0,0,0,0,0,0,0,0,0,0
31.0,23.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,24.0,0,0,0,0,0,0,0,0,2,0,1,0
31.0,25.0,0,0,0,0,0,0,0,0,3,0,8,0
31.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0
31.0,27.0,0,0,0,0,1,2,0,1,2,0,42,1
31.0,28.0,0,0,0,0,0,0,0,0,0,0,1,0
31.0,29.0,4,0,4,0,7,3,0,1,5,1,42,9
31.0,30.0,0,0,0,0,0,14,0,0,8,0,44,2
31.0,31.0,0,0,0,0,3,0,0,0,5,0,12,0
31.0,32.0,4,0,0,0,0,1,0,0,2,0,8,2
31.0,33.0,0,0,1,0,0,0,0,0,0,0,1,0
32.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,-11.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,-10.0,0,0,0,0,0,0,0,0,3,0,21,1
32.0,-9.0,0,0,0,0,0,0,0,0,0,0,3,0
32.0,-8.0,2,1,0,0,0,0,0,0,2,0,6,0
32.0,-7.0,1,1,0,0,1,0,3,0,74,0,39,1
32.0,-6.0,0,0,0,0,0,0,0,0,0,0,19,0
32.0,-5.0,1,0,0,0,0,0,0,0,1,0,20,0
32.0,-4.0,0,0,0,0,0,0,0,0,1,0,1,0
32.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,-2.0,2,0,0,0,0,0,0,0,5,0,10,1
32.0,-1.0,0,0,0,0,0,0,0,0,2,0,1,0
32.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0
32.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0
32.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0
