y,x,value
57.4,10.4,4
57.4,10.6,0
57.4,10.8,0
57.4,11.0,0
57.4,11.2,0
57.4,11.4,0
57.4,11.6,0
57.4,11.8,1
57.4,12.0,1
57.4,12.2,1
57.4,12.4,0
57.4,12.6,1
57.4,12.8,0
57.6,8.0,0
57.6,8.2,0
57.6,8.4,0
57.6,8.6,0
57.6,8.8,0
57.6,9.0,0
57.6,9.2,0
57.6,9.4,0
57.6,9.6,0
57.6,9.8,0
57.6,10.0,0
57.6,10.2,1
57.6,10.4,8
57.6,10.6,3
57.6,10.8,0
57.6,11.0,0
57.6,11.2,0
57.6,11.4,0
57.6,11.6,8
57.6,11.8,17
57.6,12.0,4
57.6,12.2,1
57.6,12.4,0
57.6,12.6,0
57.6,12.8,4
57.8,8.0,0
57.8,8.2,0
57.8,8.4,0
57.8,8.6,0
57.8,8.8,0
57.8,9.0,0
57.8,9.2,0
57.8,9.4,0
57.8,9.6,0
57.8,9.8,0
57.8,10.0,0
57.8,10.2,0
57.8,10.4,0
57.8,10.6,0
57.8,10.8,0
57.8,11.0,0
57.8,11.2,0
57.8,11.4,3
57.8,11.6,0
57.8,11.8,5
57.8,12.0,2
57.8,12.2,1
57.8,12.4,2
57.8,12.6,0
57.8,12.8,0
